Speaker,Workshop,Date,Time
Rose Yu,https://unireps.org/2025/,2025-12-06,08:30 - 09:00
David Alvarez-Melis,https://unireps.org/2025/,2025-12-06,09:00 - 09:30
Nikolaus Kriegeskorte,https://unireps.org/2025/,2025-12-06,09:30 - 10:00
Eva J. Dyer,https://unireps.org/2025/,2025-12-06,13:30 - 14:00
D. Sutherland,https://unireps.org/2025/,2025-12-06,15:00 - 15:30

Markus Buehler,https://sites.google.com/view/ai4mat,2025-12-06,8:20 a.m. - 8:45 a.m.
Aditi Krishnapriyan,https://sites.google.com/view/ai4mat,2025-12-06,8:45 a.m. - 9:10 a.m.
Jeff Clune,https://sites.google.com/view/ai4mat,2025-12-06,11:35 a.m. - 12:00 p.m.
Molly Gibson,https://sites.google.com/view/ai4mat,2025-12-06,1:30 p.m. - 1:55 p.m.
Rianne van den Berg,https://sites.google.com/view/ai4mat,2025-12-06,1:55 p.m. - 2:20 p.m.
Max Welling,https://sites.google.com/view/ai4mat,2025-12-06,3:45 p.m. - 4:10 p.m.

Dawn Song,https://workshop-multi-turn-interaction.github.io/,2025-12-06,08:00 – 08:30
Natasha Jaques,https://workshop-multi-turn-interaction.github.io/,2025-12-06,08:30 – 09:00
Diyi Yang,https://workshop-multi-turn-interaction.github.io/,2025-12-06,09:30 – 10:00
Peter Henderson,https://workshop-multi-turn-interaction.github.io/,2025-12-06,10:00 – 10:30
Jason Weston,https://workshop-multi-turn-interaction.github.io/,2025-12-06,13:00 – 13:30
Will Brown,https://workshop-multi-turn-interaction.github.io/,2025-12-06,13:30 – 14:00
Yu Su,https://workshop-multi-turn-interaction.github.io/,2025-12-06,14:30 – 15:00

Andrew Wagenmaker,https://arlet-workshop.github.io/,2025-12-06,8:30 a.m.
Nan Jiang,https://arlet-workshop.github.io/,2025-12-06,9:15 a.m.
Mengdi Wang,https://arlet-workshop.github.io/,2025-12-06,10:00 a.m.

Yuejie Chi,https://sites.google.com/view/dynafrontneurips25,2025-12-06,Not sure
Andrea Montanari,https://sites.google.com/view/dynafrontneurips25,2025-12-06,Not sure
Georgios Piliouras,https://sites.google.com/view/dynafrontneurips25,2025-12-06,Not sure
Philippe Rigollet,https://sites.google.com/view/dynafrontneurips25,2025-12-06,Not sure
Santosh Vempala,https://sites.google.com/view/dynafrontneurips25,2025-12-06,Not sure
Rachel Ward,https://sites.google.com/view/dynafrontneurips25,2025-12-06,Not sure

Saiph Savage,https://acaworkshop.github.io/,2025-12-06,Not sure
Florian Tramèr,https://acaworkshop.github.io/,2025-12-06,Not sure
Tijana Zrnic,https://acaworkshop.github.io/,2025-12-06,Not sure
Alex Hanna,https://acaworkshop.github.io/,2025-12-06,Not sure
Joanna Redden,https://acaworkshop.github.io/,2025-12-06,Not sure
Helen Nissenbaum,https://acaworkshop.github.io/,2025-12-06,Not sure
Bogdan Kulynych,https://acaworkshop.github.io/,2025-12-06,Not sure

Peter Bartlett,https://opt-ml.org/,2025-12-06,Not sure
Tomer Koren,https://opt-ml.org/,2025-12-06,Not sure
Nicolas Flammarion,https://opt-ml.org/,2025-12-06,Not sure
Sham Kakade,https://opt-ml.org/,2025-12-06,Not sure
Soledad Villar,https://opt-ml.org/,2025-12-06,Not sure

Chelsea Finn,https://embodied-world-models.github.io/,2025-12-06,Not sure
Yilun Du,https://embodied-world-models.github.io/,2025-12-06,Not sure
Xiaolong Wang,https://embodied-world-models.github.io/,2025-12-06,Not sure
David Hsu,https://embodied-world-models.github.io/,2025-12-06,Not sure
Peter Stone,https://embodied-world-models.github.io/,2025-12-06,Not sure
Philip J. Ball,https://embodied-world-models.github.io/,2025-12-06,Not sure
John Langford,https://embodied-world-models.github.io/,2025-12-06,Not sure
Pablo Samuel Castro,https://embodied-world-models.github.io/,2025-12-06,Not sure
Elias Bareinboim,https://embodied-world-models.github.io/,2025-12-06,Not sure
Glen Berseth,https://embodied-world-models.github.io/,2025-12-06,Not sure
Jiajun Wu,https://embodied-world-models.github.io/,2025-12-06,Not sure
Lin Shao,https://embodied-world-models.github.io/,2025-12-06,Not sure
Sanja Fidler,https://embodied-world-models.github.io/,2025-12-06,Not sure
Jianlan Luo,https://embodied-world-models.github.io/,2025-12-06,Not sure
Gianluca Corrado,https://embodied-world-models.github.io/,2025-12-06,Not sure
Lorenzo Bertoni,https://embodied-world-models.github.io/,2025-12-06,Not sure

Oisin Mac Aodha,https://imageomics.github.io/Imageomics-NeurIPS-2025/,2025-12-06,Not sure
Mohamed H. Elhoseiny,https://imageomics.github.io/Imageomics-NeurIPS-2025/,2025-12-06,Not sure
Lauren E. Gillespie,https://imageomics.github.io/Imageomics-NeurIPS-2025/,2025-12-06,Not sure
Yogesh Girdhar,https://imageomics.github.io/Imageomics-NeurIPS-2025/,2025-12-06,Not sure
Nathon Jacobs,https://imageomics.github.io/Imageomics-NeurIPS-2025/,2025-12-06,Not sure
Silvia Zuffi,https://imageomics.github.io/Imageomics-NeurIPS-2025/,2025-12-06,Not sure

Rama Cont,https://sites.google.com/view/neurips-25-gen-ai-in-finance/home,2025-12-06,8:30 - 9:00
Ioana Boier,https://sites.google.com/view/neurips-25-gen-ai-in-finance/home,2025-12-06,9:00 - 9:30
Bayan Bruss,https://sites.google.com/view/neurips-25-gen-ai-in-finance/home,2025-12-06,9:30 - 10:00
Alejandro Lopez-Lira and Jacob Chanyeol Choi,https://sites.google.com/view/neurips-25-gen-ai-in-finance/home,2025-12-06,10:50 - 11:35
Furong Huang,https://sites.google.com/view/neurips-25-gen-ai-in-finance/home,2025-12-06,1:00 - 1:30
Tal Kachman,https://sites.google.com/view/neurips-25-gen-ai-in-finance/home,2025-12-06,2:00 - 2:30
Hao Ni,https://sites.google.com/view/neurips-25-gen-ai-in-finance/home,2025-12-06,3:20 - 3:50

Philip Ball,https://sites.google.com/view/law-2025,2025-12-07,Not sure
Stephen Spencer,https://sites.google.com/view/law-2025,2025-12-07,Not sure
François Chollet,https://sites.google.com/view/law-2025,2025-12-07,Not sure
Chelsea Finn,https://sites.google.com/view/law-2025,2025-12-07,Not sure
Danijar Hafner,https://sites.google.com/view/law-2025,2025-12-07,Not sure
Keyon Vafa,https://sites.google.com/view/law-2025,2025-12-07,Not sure
Ying Nian Wu,https://sites.google.com/view/law-2025,2025-12-07,Not sure
Eric Xing,https://sites.google.com/view/law-2025,2025-12-07,Not sure
Sherry Yang,https://sites.google.com/view/law-2025,2025-12-07,Not sure

Wotao Yin,https://www.cvxgrp.org/scaleopt/,2025-12-07,Not sure
Madeleine Udell,https://www.cvxgrp.org/scaleopt/,2025-12-07,Not sure
Haihao Lu,https://www.cvxgrp.org/scaleopt/,2025-12-07,Not sure
Brandon Amos,https://www.cvxgrp.org/scaleopt/,2025-12-07,Not sure
Bartolomeo Stellato,https://www.cvxgrp.org/scaleopt/,2025-12-07,Not sure
Danny Tse,https://www.cvxgrp.org/scaleopt/,2025-12-07,Not sure

Frank E. Curtis,https://constrained-opt-ml.github.io/,2025-12-07,8:40–9:20
Luiz Chamon,https://constrained-opt-ml.github.io/,2025-12-07,10:50–11:30
Ferdinando Fioretto,https://constrained-opt-ml.github.io/,2025-12-07,13:30–14:10
Emily Ruth Diana,https://constrained-opt-ml.github.io/,2025-12-07,15:20–16:00

Edward Grefenstette,https://sea-workshop.github.io/,2025-12-07,Not sure
Deepak Nathani,https://sea-workshop.github.io/,2025-12-07,Not sure
Grégoire Mialon,https://sea-workshop.github.io/,2025-12-07,Not sure
Shuyan Zhou,https://sea-workshop.github.io/,2025-12-07,Not sure
Qian Huang,https://sea-workshop.github.io/,2025-12-07,Not sure
Mike A. Merrill,https://sea-workshop.github.io/,2025-12-07,Not sure
Jane X. Wang,https://sea-workshop.github.io/,2025-12-07,Not sure

Ziv Bar-Joseph,https://nips2025fm4ls.github.io/index.html,2025-12-07,Not sure
Charlotte Bunne,https://nips2025fm4ls.github.io/index.html,2025-12-07,Not sure
Simona Cristea,https://nips2025fm4ls.github.io/index.html,2025-12-07,Not sure
Stefano Ermon,https://nips2025fm4ls.github.io/index.html,2025-12-07,Not sure
Quanquan Gu,https://nips2025fm4ls.github.io/index.html,2025-12-07,Not sure
Nilah Ioannidis,https://nips2025fm4ls.github.io/index.html,2025-12-07,Not sure
Emma Lundberg,https://nips2025fm4ls.github.io/index.html,2025-12-07,Not sure
Caroline Uhler,https://nips2025fm4ls.github.io/index.html,2025-12-07,Not sure
Eric Xing,https://nips2025fm4ls.github.io/index.html,2025-12-07,Not sure

Aviral Kumar,https://reasoning-workshop.github.io/,2025-12-07,Not sure
Azalia Mirhoseini,https://reasoning-workshop.github.io/,2025-12-07,Not sure
Michael Hahn,https://reasoning-workshop.github.io/,2025-12-07,Not sure
Nathan Lambert,https://reasoning-workshop.github.io/,2025-12-07,Not sure

Chenghao Liu,https://berts-workshop.github.io/,2025-12-07,Not sure
Mingsheng Long,https://berts-workshop.github.io/,2025-12-07,Not sure
Zoe Piran,https://berts-workshop.github.io/,2025-12-07,Not sure
Danielle Maddix Robinson,https://berts-workshop.github.io/,2025-12-07,Not sure
Ameet Talwalkar,https://berts-workshop.github.io/,2025-12-07,Not sure
Qingsong Wen,https://berts-workshop.github.io/,2025-12-07,Not sure

Amir Zadeh,https://space-in-vision-language-embodied-ai.github.io/,2025-12-07,Not sure
Barbara Landau,https://space-in-vision-language-embodied-ai.github.io/,2025-12-07,Not sure
Dieter Fox,https://space-in-vision-language-embodied-ai.github.io/,2025-12-07,Not sure
Joyce Chai,https://space-in-vision-language-embodied-ai.github.io/,2025-12-07,Not sure
Ranjay Krishna,https://space-in-vision-language-embodied-ai.github.io/,2025-12-07,Not sure
Saining Xie,https://space-in-vision-language-embodied-ai.github.io/,2025-12-07,Not sure

Chris Donahue,https://aiformusicworkshop.github.io/,2025-12-07,Not sure
Shlomo Dubnov,https://aiformusicworkshop.github.io/,2025-12-07,Not sure
Ilaria Manco,https://aiformusicworkshop.github.io/,2025-12-07,Not sure
Akira Maezawa,https://aiformusicworkshop.github.io/,2025-12-07,Not sure
Julian McAuley,https://aiformusicworkshop.github.io/,2025-12-07,Not sure
Anna Huang,https://aiformusicworkshop.github.io/,2025-12-07,Not sure

Yunha Hwang,https://ai4sciencecommunity.github.io/neurips25,2025-12-07,Not sure
Gurtej Kanwar,https://ai4sciencecommunity.github.io/neurips25,2025-12-07,Not sure
Michele Ceriotti,https://ai4sciencecommunity.github.io/neurips25,2025-12-07,Not sure
Heather Kulik,https://ai4sciencecommunity.github.io/neurips25,2025-12-07,Not sure
